"","Trade.Name","City","Reviews","Number_of_Reviews"
"14699","STATEN DELI GROCERY","STATEN ISLAND",4.5,61
"14700","STATEN ISLAND BAGEL CAF","STATEN ISLAND",3.8,58
"14701","STATEN ISLAND BEER COMP","STATEN ISLAND",0,0
"14702","STATEN ISLAND MEATS","STATEN ISLAND",4.6,8
"14703","STATEN ISLND PICKLE WKS","STATEN ISLAND",4.3,12
"14704","STATION 800","NEW YORK",0,0
"14705","STATION CONVENIENCE","GREAT NECK",5,NA
"14706","STATION DELI","PORT JEFFERSON STA",0,0
"14707","STATION DELI OF BELLPOR","BELLPORT",4,28
"14708","STATION GANANDA LLC THE","MACEDON",3.6,9
"14709","STAUBITZ MEAT MARKET","BROOKLYN",4.9,28
"14710","STAY FRESH DELI & GRILL","BROOKLYN",3.6,145
"14711","STAY FRESH GRILL","BROOKLYN",3.6,145
"14712","STEARNS POULTRY FARM","ALFRED STATION",5,7
"14713","STEARNS POULTRY STORE","HORNELL",4.7,44
"14714","STEELE SAUSAGE&CATERING","AVON",4.7,18
"14715","STEFFIES FOOD MARKET","BUFFALO",4.1,15
"14716","STEINBERGS BAKERY","BROOKLYN",0,0
"14717","STEINERS GENERAL STORE","WATERTOWN",4.4,105
"14718","STEINWAY DELI MART","ASTORIA",4.4,18
"14719","STELLA DEL MARE","ALBANY",5,25
"14720","STELLAS MEAT & DELI","SHERBURNE",5,42
"14721","STELLAS OLD FASHIONED","ANGOLA",0,0
"14722","STEPHANIE DELI GROCERY","BROOKLYN",0,0
"14723","STEPHANIE FOODS","BROOKLYN",0,0
"14724","STEPHANIE&ANTONIO BKRY","BRENTWOOD",0,0
"14725","STEPHANIES DELI & GROCE","STATEN ISLAND",0,0
"14726","STEPHEN DELI 1","REGO PARK",4.1,30
"14727","STERLING EXPRESS DELI","BROOKLYN",0,0
"14728","STEVEN DELI & GROCERY","BRONX",3.3,3
"14729","STEVEN MARKET","RENSSELAER",4.3,35
"14730","STEVEN STILE FRMRS MRKT","NEW YORK",0,0
"14731","STEVENS DELI & GROCERY","BROOKLYN",4.2,27
"14732","STEVERS CANDIES","ROCHESTER",4.9,132
"14733","STEVES BEV&FOXS PIZZA","ADDISON",0,0
"14734","STEVES C TOWN","SUNNYSIDE",4.1,269
"14735","STEVES C TOWN 041010","BROOKLYN",4.1,446
"14736","STEVES CONVIENIENCE","HILTON",4.2,5
"14737","STEVES DELI & GROCERY","BRONX",3.3,3
"14738","STEVES GAS N GRUB HUB","ANDOVER",4.2,57
"14739","STEVES MEATS","BUFFALO",4.7,115
"14740","STEVES PRIME MEATS","FREEPORT",5,41
"14741","STEVES SALUMERIA","BROOKLYN",4.9,28
"14742","STEW LEONARDS","YONKERS",4.5,NA
"14743","STEW LEONARDS EAST MEAD","EAST MEADOW",4.6,928
"14744","STEWARTS 101","SARATOGA SPRINGS",2.2,5
"14745","STEWARTS SHOP #123","FORT EDWARD",4.8,6
"14746","STEWARTS SHOP #125","WARRENSBURG",2.8,11
"14747","STEWARTS SHOP #126","SCHENECTADY",0,0
"14748","STEWARTS SHOP #128","MIDDLEBURGH",3.4,11
"14749","STEWARTS SHOP #156","PORT EWEN",4,14
"14750","STEWARTS SHOP #157","SALEM",0,0
"14751","STEWARTS SHOP #162","BALLSTON LAKE",4.8,4
"14752","STEWARTS SHOP #163","RICHFIELD SPRINGS",4,8
"14753","STEWARTS SHOP #166 7/30","BERLIN",0,0
"14754","STEWARTS SHOP #168","NEW LEBANON",4.6,12
"14755","STEWARTS SHOP #247","GLOVERSVILLE",4.7,7
"14756","STEWARTS SHOP #297","CHATHAM",0,0
"14757","STEWARTS SHOP #308","NORTH CREEK",3.3,12
"14758","STEWARTS SHOP #315 12/2","MECHANICVILLE",0,0
"14759","STEWARTS SHOP #379","SLINGERLANDS",4,6
"14760","STEWARTS SHOP #384","COBLESKILL",0,0
"14761","STEWARTS SHOP #385","CLIFTON PARK",0,0
"14762","STEWARTS SHOP #390","CORINTH",0,0
"14763","STEWARTS SHOP #403","GALWAY",0,0
"14764","STEWARTS SHOP #407","CLIFTON PARK",0,0
"14765","STEWARTS SHOP #408","SARATOGA SPRINGS",0,0
"14766","STEWARTS SHOP #420","WATERFORD",0,0
"14767","STEWARTS SHOP #447","CLIFTON PARK",0,0
"14768","STEWARTS SHOP #450","UTICA",0,0
"14769","STEWARTS SHOP #451","SYRACUSE",4.1,22
"14770","STEWARTS SHOP #453","NEW HARTFORD",3.4,9
"14771","STEWARTS SHOP #454","ROME",0,0
"14772","STEWARTS SHOP #455","WESTMORELAND",0,0
"14773","STEWARTS SHOP #456","TROY",3.7,9
"14774","STEWARTS SHOP #457","WATERVLIET",3.5,15
"14775","STEWARTS SHOP #468","BURNT HILLS",5,4
"14776","STEWARTS SHOP 102","HAGAMAN",4,7
"14777","STEWARTS SHOP 103","PORT HENRY",3.1,14
"14778","STEWARTS SHOP 104","SARATOGA SPRINGS",0,0
"14779","STEWARTS SHOP 105","DELMAR",0,0
"14780","STEWARTS SHOP 106","ST JOHNSVILLE",4.1,10
"14781","STEWARTS SHOP 107","NORTHVILLE",0,0
"14782","STEWARTS SHOP 110","SCHENECTADY",0,0
"14783","STEWARTS SHOP 111","LATHAM",4.7,3
"14784","STEWARTS SHOP 113","WATERTOWN",0,0
"14785","STEWARTS SHOP 114","HERKIMER",4.7,7
"14786","STEWARTS SHOP 116","ESPERANCE",0,0
"14787","STEWARTS SHOP 118","FORT PLAIN",4.4,10
"14788","STEWARTS SHOP 119","CANTON",0,0
"14789","STEWARTS SHOP 120","WEST COXSACKIE",4.3,10
"14790","STEWARTS SHOP 121","RED HOOK",0,0
"14791","STEWARTS SHOP 122","COHOES",0,0
"14792","STEWARTS SHOP 124","ALBANY",3.4,5
"14793","STEWARTS SHOP 130","SARATOGA SPRINGS",0,0
"14794","STEWARTS SHOP 131","TROY",0,0
"14795","STEWARTS SHOP 132","WATERVILLE",0,0
"14796","STEWARTS SHOP 134","TROY",0,0
"14797","STEWARTS SHOP 135","SCHENECTADY",0,0
"14798","STEWARTS SHOP 137","CHATEAUGAY",4.7,6
"14799","STEWARTS SHOP 141","KINGSTON",0,0
"14800","STEWARTS SHOP 142","GRANVILLE",0,0
"14801","STEWARTS SHOP 143","BROADALBIN",3,10
"14802","STEWARTS SHOP 144","RAVENA",3.9,8
"14803","STEWARTS SHOP 146","FONDA",0,0
"14804","STEWARTS SHOP 147","DOLGEVILLE",4,5
"14805","STEWARTS SHOP 149","HYDE PARK",0,0
"14806","STEWARTS SHOP 153","SCHOHARIE",3,6
"14807","STEWARTS SHOP 155","ILION",3.6,7
"14808","STEWARTS SHOP 159","GLENS FALLS",3.8,4
"14809","STEWARTS SHOP 160","ELIZABETHTOWN",0,0
"14810","STEWARTS SHOP 164","SCHENECTADY",0,0
"14811","STEWARTS SHOP 165","HURLEY",0,0
"14812","STEWARTS SHOP 167","ALTAMONT",0,0
"14813","STEWARTS SHOP 169","PALATINE BRIDGE",3.9,11
"14814","STEWARTS SHOP 170","CAMBRIDGE",0,0
"14815","STEWARTS SHOP 173","VOORHEESVILLE",3.7,6
"14816","STEWARTS SHOP 174","CHESTERTOWN",4.3,8
"14817","STEWARTS SHOP 175","POLAND",0,0
"14818","STEWARTS SHOP 177","ROSENDALE",4.7,10
"14819","STEWARTS SHOP 180","GLOVERSVILLE",0,0
"14820","STEWARTS SHOP 182","SCHENECTADY",3.1,9
"14821","STEWARTS SHOP 183","SCHENECTADY",0,0
"14822","STEWARTS SHOP 185","ALBANY",0,0
"14823","STEWARTS SHOP 186","ALBANY",4.7,11
"14824","STEWARTS SHOP 188","DELMAR",0,0
"14825","STEWARTS SHOP 189","ROTTERDAM",0,0
"14826","STEWARTS SHOP 200","PLATTSBURGH",0,0
"14827","STEWARTS SHOP 201","WATERVLIET",4.3,16
"14828","STEWARTS SHOP 203","ALTAMONT",4.4,10
"14829","STEWARTS SHOP 205","BALLSTON SPA",0,0
"14830","STEWARTS SHOP 206","WATERFORD",0,0
"14831","STEWARTS SHOP 207","DANNEMORA",4.8,4
"14832","STEWARTS SHOP 209","HUDSON",0,0
"14833","STEWARTS SHOP 210","LATHAM",3.7,7
"14834","STEWARTS SHOP 211","WHITEHALL",0,0
"14835","STEWARTS SHOP 213","KINGSTON",0,0
"14836","STEWARTS SHOP 215","FORT EDWARD",3.4,5
"14837","STEWARTS SHOP 216","SOUTH GLENS FALLS",0,0
"14838","STEWARTS SHOP 217","AMSTERDAM",0,0
"14839","STEWARTS SHOP 218","GLENS FALLS",0,0
"14840","STEWARTS SHOP 219","HOOSICK FALLS",0,0
"14841","STEWARTS SHOP 220","LAKE GEORGE",3.6,24
"14842","STEWARTS SHOP 221","NEW BERLIN",0,0
"14843","STEWARTS SHOP 224","JOHNSTOWN",0,0
"14844","STEWARTS SHOP 225","PLATTSBURGH",0,0
"14845","STEWARTS SHOP 226","SCHENECTADY",0,0
"14846","STEWARTS SHOP 227","LAKE PLACID",0,0
"14847","STEWARTS SHOP 228","KINGSTON",0,0
"14848","STEWARTS SHOP 229","BALLSTON SPA",0,0
"14849","STEWARTS SHOP 230","SCOTIA",0,0
"14850","STEWARTS SHOP 231","ALBANY",3.9,10
"14851","STEWARTS SHOP 232","ONEONTA",4.2,16
"14852","STEWARTS SHOP 233","AMSTERDAM",0,0
"14853","STEWARTS SHOP 234","LATHAM",0,0
"14854","STEWARTS SHOP 235","SAUGERTIES",0,0
"14855","STEWARTS SHOP 236","SCHROON LAKE",3,11
"14856","STEWARTS SHOP 239","HUDSON",0,0
"14857","STEWARTS SHOP 242","SARANAC LAKE",4.2,9
"14858","STEWARTS SHOP 243","NORTH HOOSICK",4,2
"14859","STEWARTS SHOP 244","TROY",0,0
"14860","STEWARTS SHOP 248","ELLENVILLE",4.1,8
"14861","STEWARTS SHOP 251","WALLKILL",5,3
"14862","STEWARTS SHOP 252","TUPPER LAKE",4.8,8
"14863","STEWARTS SHOP 253","BALLSTON SPA",3,7
"14864","STEWARTS SHOP 256","AUSABLE FORKS",3.6,7
"14865","STEWARTS SHOP 257","PERU",0,0
"14866","STEWARTS SHOP 258","MECHANICVILLE",4.3,3
"14867","STEWARTS SHOP 259","HUDSON FALLS",3.1,7
"14868","STEWARTS SHOP 260","PLATTSBURGH",0,0
"14869","STEWARTS SHOP 262","RENSSELAER",3.1,7
"14870","STEWARTS SHOP 265","BALLSTON SPA",0,0
"14871","STEWARTS SHOP 266","AMSTERDAM",0,0
"14872","STEWARTS SHOP 267","ALBANY",0,0
"14873","STEWARTS SHOP 268","BALLSTON SPA",0,0
"14874","STEWARTS SHOP 270","PLATTSBURGH",0,0
"14875","STEWARTS SHOP 271","SCOTIA",0,0
"14876","STEWARTS SHOP 272","PLATTSBURGH",4,14
"14877","STEWARTS SHOP 273","SAUGERTIES",3.8,8
"14878","STEWARTS SHOP 275","GLENVILLE",0,0
"14879","STEWARTS SHOP 277","VOORHEESVILLE",3.7,6
"14880","STEWARTS SHOP 279","JOHNSTOWN",0,0
"14881","STEWARTS SHOP 280","INDIAN LAKE",0,0
"14882","STEWARTS SHOP 281","HILLSDALE",0,0
"14883","STEWARTS SHOP 282","LAKE GEORGE",0,0
"14884","STEWARTS SHOP 283","SCHENECTADY",4.6,9
"14885","STEWARTS SHOP 284","MAYFIELD",0,0
"14886","STEWARTS SHOP 285","GERMANTOWN",0,0
"14887","STEWARTS SHOP 286","LAKE KATRINE",4.6,7
"14888","STEWARTS SHOP 287","TROY",0,0
"14889","STEWARTS SHOP 288","MONTICELLO",4.5,6
"14890","STEWARTS SHOP 290","PINE BUSH",4,11
"14891","STEWARTS SHOP 291","ALBANY",3.4,8
"14892","STEWARTS SHOP 293","LATHAM",0,0
"14893","STEWARTS SHOP 294","WYNANTSKILL",4.5,13
"14894","STEWARTS SHOP 295","BALLSTON SPA",0,0
"14895","STEWARTS SHOP 299","MILTON",0,0
"14896","STEWARTS SHOP 300","SCOTIA",0,0
"14897","STEWARTS SHOP 301","KINGSTON",0,0
"14898","STEWARTS SHOP 302","POUGHKEEPSIE",0,0
"14899","STEWARTS SHOP 303","KEENE",4.1,13
"14900","STEWARTS SHOP 304","FEURA BUSH",4.9,7
"14901","STEWARTS SHOP 305","CLIFTON PARK",3.4,12
"14902","STEWARTS SHOP 307","FALLSBURG",3.1,13
"14903","STEWARTS SHOP 309","NEW PALTZ",4.4,8
"14904","STEWARTS SHOP 311","CAIRO",0,0
"14905","STEWARTS SHOP 312","BRUSHTON",3.2,9
"14906","STEWARTS SHOP 313","POUGHKEEPSIE",0,0
"14907","STEWARTS SHOP 314","SARATOGA SPRINGS",0,0
"14908","STEWARTS SHOP 316","STILLWATER",0,0
"14909","STEWARTS SHOP 317","MILLBROOK",0,0
"14910","STEWARTS SHOP 319","FORT JOHNSON",3.6,5
"14911","STEWARTS SHOP 320","SCHENECTADY",0,0
"14912","STEWARTS SHOP 322","WASHINGTONVILLE",4.1,15
"14913","STEWARTS SHOP 324","SCOTIA",0,0
"14914","STEWARTS SHOP 325","WAPPINGERS FALLS",0,0
"14915","STEWARTS SHOP 326","RED HOOK",4.8,5
"14916","STEWARTS SHOP 327","MIDDLETOWN",3.5,12
"14917","STEWARTS SHOP 328","KINGSTON",0,0
"14918","STEWARTS SHOP 329","PINE PLAINS",4.6,12
"14919","STEWARTS SHOP 331","MALONE",4.2,13
"14920","STEWARTS SHOP 332","SHARON SPRINGS",3.4,10
"14921","STEWARTS SHOP 333","SARATOGA SPRINGS",3.7,7
"14922","STEWARTS SHOP 334","ALBANY",0,0
"14923","STEWARTS SHOP 335","CLIFTON PARK",0,0
"14924","STEWARTS SHOP 336","LAKE LUZERNE",4.8,5
"14925","STEWARTS SHOP 337","MAYBROOK",3.8,9
"14926","STEWARTS SHOP 338","WEST SAND LAKE",3,4
"14927","STEWARTS SHOP 340","MALONE",4,6
"14928","STEWARTS SHOP 341","SARATOGA SPRINGS",0,0
"14929","STEWARTS SHOP 342","CLINTON CORNERS",4.1,21
"14930","STEWARTS SHOP 343","MIDDLEVILLE",4.5,4
"14931","STEWARTS SHOP 344","BROWNVILLE",3.1,15
"14932","STEWARTS SHOP 345","SARATOGA SPRINGS",3.4,10
"14933","STEWARTS SHOP 346","HOOSICK",0,0
"14934","STEWARTS SHOP 349","KINDERHOOK",0,0
"14935","STEWARTS SHOP 350","COHOES",0,0
"14936","STEWARTS SHOP 351","WORCESTER",3.9,9
"14937","STEWARTS SHOP 353","LONG LAKE",4.5,15
"14938","STEWARTS SHOP 354","CASTLETON ON HUDSO",3.8,9
"14939","STEWARTS SHOP 358","KINGSTON",0,0
"14940","STEWARTS SHOP 360","MIDDLE GROVE",5,5
"14941","STEWARTS SHOP 361","CLINTON",0,0
"14942","STEWARTS SHOP 363","WATERFORD",3.5,10
"14943","STEWARTS SHOP 365","BALLSTON LAKE",4.6,5
"14944","STEWARTS SHOP 366","BALLSTON LAKE",0,0
"14945","STEWARTS SHOP 372","LYONS FALLS",4.4,5
"14946","STEWARTS SHOP 374","QUEENSBURY",3.5,10
"14947","STEWARTS SHOP 376","WURTSBORO",4.1,11
"14948","STEWARTS SHOP 377","ROME",0,0
"14949","STEWARTS SHOP 378","CHAZY",0,0
"14950","STEWARTS SHOP 380","GLENS FALLS",2.9,8
"14951","STEWARTS SHOP 383","MASSENA",3,4
"14952","STEWARTS SHOP 387","POUGHKEEPSIE",3.8,15
"14953","STEWARTS SHOP 388","OSWEGO",3.8,13
"14954","STEWARTS SHOP 389","GREENVILLE",0,0
"14955","STEWARTS SHOP 393","MODENA",0,0
"14956","STEWARTS SHOP 395","WINTHROP",0,0
"14957","STEWARTS SHOP 397","ALBANY",0,0
"14958","STEWARTS SHOP 399","ADAMS",0,0
"14959","STEWARTS SHOP 404","CANTON",0,0
"14960","STEWARTS SHOP 405","SCHENECTADY",0,0
"14961","STEWARTS SHOP 406","ALBANY",2.5,4
"14962","STEWARTS SHOP 410","SCOTIA",0,0
"14963","STEWARTS SHOP 412","VALATIE",4.2,5
"14964","STEWARTS SHOP 413","MINETTO",3.8,11
"14965","STEWARTS SHOP 418","SCHENECTADY",0,0
"14966","STEWARTS SHOP 419","GLOVERSVILLE",0,0
"14967","STEWARTS SHOP 423","GOUVERNEUR",4.5,2
"14968","STEWARTS SHOP 424","ARGYLE",0,0
"14969","STEWARTS SHOP 426","SHERBURNE",4.6,9
"14970","STEWARTS SHOP 427","FRANKFORT",0,0
"14971","STEWARTS SHOP 428","BLACK RIVER",0,0
"14972","STEWARTS SHOP 429","PHILADELPHIA",0,0
"14973","STEWARTS SHOP 430","MASSENA",4.3,6
"14974","STEWARTS SHOP 433","WATERTOWN",0,0
"14975","STEWARTS SHOP 434","HOLLAND PATENT",3.8,14
"14976","STEWARTS SHOP 435","OGDENSBURG",4.6,9
"14977","STEWARTS SHOP 437","GREAT BEND",0,0
"14978","STEWARTS SHOP 438","CARTHAGE",0,0
"14979","STEWARTS SHOP 439","COPENHAGEN",0,0
"14980","STEWARTS SHOP 440","BOONVILLE",4.3,8
"14981","STEWARTS SHOP 441","WATERTOWN",4.4,7
"14982","STEWARTS SHOP 442","EVANS MILLS",2.8,8
"14983","STEWARTS SHOP 443","LOWVILLE",4,10
"14984","STEWARTS SHOP 448","HARTFORD",4.8,4
"14985","STEWARTS SHOP 449","BALLSTON SPA",0,0
"14986","STEWARTS SHOPS #158","NASSAU",0,0
"14987","STEWARTS SHOPS #370","POTSDAM",0,0
"14988","STEWARTS SHOPS #371","HEUVELTON",4.2,83
"14989","STEWARTS SHOPS #386","SLINGERLANDS",0,0
"14990","STICK WITH ME","NEW YORK",4.9,183
"14991","STILLWELL 99 CENTS UP","BROOKLYN",3.6,34
"14992","STILLWELL CONVENIENCE","BROOKLYN",0,0
"14993","STOCKADE MARKET&DELI","SCHENECTADY",4.2,39
"14994","STONE BARNS CENTER","POCANTICO HILLS",4.4,60
"14995","STONEHENGE FARM MARKET","BULLVILLE",4.4,69
"14996","STONES HOMEMADE CNDY SH","OSWEGO",4.7,47
"14997","STONEWOOD DELI&MARKET","ROCHESTER",3.6,28
"14998","STONEY RIDGE ORCHARD","ERIN",0,0
"14999","STONY ASIAN MART","STONY BROOK",3.6,34
"15000","STONY BLOCK GROCERY","CUBA",0,0
"15001","STONY BROOK WHOLE HEART","GENEVA",0,0
"15002","STONY CREEK COUNTRY STR","CARTHAGE",4.8,15
"15003","STONY CREEK MARKET","STONY CREEK",4.4,94
"15004","STONY MOBIL MART","STONY POINT",3.6,34
"15005","STONYS FOOD N NEWS","STONY POINT",4.2,13
"15006","STOP & BUY DELI MARKET","NEWBURGH",4,3
"15007","STOP & BUY GROCERY NY","BROOKLYN",0,0
"15008","STOP & GO CANDY & GROCE","SOUTH RICHMOND HIL",0,0
"15009","STOP & GO MINI MART 55","RIVERHEAD",5,NA
"15010","STOP & GO SMOKE DELI","BRONX",4.5,16
"15011","STOP & SAVE DELI","BROOKLYN",4.5,2
"15012","STOP & SHOP #2503","WEST HAVERSTRAW",4.2,119
"15013","STOP & SHOP #2505","SHIRLEY",0,0
"15014","STOP & SHOP #2520","ROCKY POINT",0,0
"15015","STOP & SHOP #2551","HAMPTON BAYS",4.1,265
"15016","STOP & SHOP #2575","EAST HAMPTON",0,0
"15017","STOP & SHOP #2576","SOUTHAMPTON",0,0
"15018","STOP & SHOP #2577","BALDWIN",0,0
"15019","STOP & SHOP #2579","ROCKAWAY PARK",4.1,554
"15020","STOP & SHOP #2580","BAYSIDE",0,0
"15021","STOP & SHOP #2581","HOWARD BEACH",4,933
"15022","STOP & SHOP #2582","LONG BEACH",0,0
"15023","STOP & SHOP #2583","HUNTINGTON",0,0
"15024","STOP & SHOP #2584","GREENVALE",0,0
"15025","STOP & SHOP #2585","SPRINGFIELD GARDEN",0,0
"15026","STOP & SHOP #2586","BROOKLYN",4.1,NA
"15027","STOP & SHOP #2587","FLUSHING",4.1,NA
"15028","STOP & SHOP #2590","FRANKLIN SQUARE",4.1,889
"15029","STOP & SHOP #2591","BROOKLYN",4,NA
"15030","STOP & SHOP #2593","BRONX",0,0
"15031","STOP & SHOP #2594","BRONX",4.2,NA
"15032","STOP & SHOP #2595","STATEN ISLAND",4.1,NA
"15033","STOP & SHOP #2596","MOUNT KISCO",4.2,307
"15034","STOP & SHOP 500","NEW ROCHELLE",4,528
"15035","STOP & SHOP 537","LITTLE NECK",4,513
"15036","STOP & SHOP 554","MILLER PLACE",4.2,423
"15037","STOP & SHOP 567","HYDE PARK",0,0
"15038","STOP & SHOP 599","TARRYTOWN",4.1,752
"15039","STOP & SHOP DELI & GROC","ALBANY",4,26
"15040","STOP & SHOP SUPERMARKET","ORANGEBURG",2.3,4
"15041","STOP 1","CORONA",4.7,21
"15042","STOP 1 & TARGEE SUPERMA","STATEN ISLAND",4.3,11
"15043","STOP 1 DELI","NEW YORK",0,0
"15044","STOP 1 DELI GOURMET","BROOKLYN",0,0
"15045","STOP 1 DELI GRILL&GRCY","LAURELTON",4.3,9
"15046","STOP 1 DELI GROCERY","BROOKLYN",5,4
"15047","STOP 1 DELI&99 CENT PLS","NEW YORK",0,0
"15048","STOP 1 FOOD MARKET","BROOKLYN",0,0
"15049","STOP 1 GRILL","BRONX",4.2,214
"15050","STOP 1 KING GOURMET DEL","NEW YORK",4.4,7
"15051","STOP 1 LEXINGTON DELI","NEW YORK",0,0
"15052","STOP 1 MONEY MARKET","BROOKLYN",5,6
"15053","STOP 1-45 FOOD MART","BROOKLYN",4.7,6
"15054","STOP 2 GROCERY","RIDGEWOOD",0,0
"15055","STOP 24","MINEOLA",3.5,4
"15056","STOP 3 ORGANIC FOOD","BROOKLYN",3.8,10
"15057","STOP 4 DELI AND GROCERY","BROOKLYN",0,0
"15058","STOP AND FUEL","DEER PARK",3.3,14
"15059","STOP AND SNACK","ROCHESTER",0,0
"15060","STOP II ORGANIC&GRCY ST","BROOKLYN",0,0
"15061","STOP N GAS","VESTAL",3.5,2
"15062","STOP N GO CONV","FOREST HILLS",0,0
"15063","STOP N GO DELI GROCERY","SCHENECTADY",4.6,41
"15064","STOP N GO FOOD&GAS","POUGHKEEPSIE",0,0
"15065","STOP N GO MINI MART & G","ROOSEVELT",0,0
"15066","STOP N GRAB CONVENIENCE","ROCHESTER",0,0
"15067","STOP N SHOP FOOD","ROCHESTER",0,0
"15068","STOP ONE","BRONX",0,0
"15069","STOP ONE AT 39TH","BROOKLYN",4.6,8
"15070","STOP ONE CONVENIENCE","ASTORIA",0,0
"15071","STOP ONE DELI","BRONX",0,0
"15072","STOP ONE DELI & GROCERY","BROOKLYN",0,0
"15073","STOP ONE EXPRESS DELI","BROOKLYN",0,0
"15074","STOP ONE FOOD MARKET","SYRACUSE",4.1,22
"15075","STOP ONE FOOD MART","NIAGARA FALLS",4.5,2
"15076","STOP ONE GROCERY & DELI","BRONX",0,0
"15077","STOP ONE I DELI & GROCE","BROOKLYN",4.4,13
"15078","STOP ONE MEAT MARKET","ROCHESTER",4.5,4
"15079","STOP ONE SUPERMARKET","BROOKLYN",4.4,51
"15080","STOP-N-SHOP","TROY",0,0
"15081","STOP&GO DELI GROCERY","BRONX",0,0
"15082","STOP&SHOP #543","WEST BABYLON",0,0
"15083","STOP&SHOP 0524","WASHINGTONVILLE",3.7,264
"15084","STOP&SHOP 0530","DOBBS FERRY",4,317
"15085","STOP&SHOP 0533","MOUNT IVY",3.8,330
"15086","STOP&SHOP 0548","SAYVILLE",4,305
"15087","STOP&SHOP 2565","OCEANSIDE",4.1,479
"15088","STOP&SHOP 501","WHITE PLAINS",4.1,690
"15089","STOP&SHOP 502","PORT CHESTER",4.3,641
"15090","STOP&SHOP 503","BRONX",4.2,NA
"15091","STOP&SHOP 504","BRONX",4.1,633
"15092","STOP&SHOP 505","BROOKLYN",4.1,NA
"15093","STOP&SHOP 506","BROOKLYN",4,NA
"15094","STOP&SHOP 508","GLENDALE",4.9,32
"15095","STOP&SHOP 510","SUNNYSIDE",0,0
"15096","STOP&SHOP 512","STATEN ISLAND",4.2,550
"15097","STOP&SHOP 517","HOPEWELL JUNCTION",3.8,255
"15098","STOP&SHOP 522","YONKERS",4.2,988
"15099","STOP&SHOP 526","EAST NORTHPORT",0,0
"15100","STOP&SHOP 527","NANUET",4.1,468
"15101","STOP&SHOP 528","NEWBURGH",4.1,533
"15102","STOP&SHOP 529","NEW ROCHELLE",4.2,505
"15103","STOP&SHOP 540","POUGHKEEPSIE",4.1,520
"15104","STOP&SHOP 542","GLEN COVE",4.1,305
"15105","STOP&SHOP 545","FARMINGDALE",4,520
"15106","STOP&SHOP 550","AMITYVILLE",4.1,391
"15107","STOP&SHOP 552","EAST MEADOW",4,349
"15108","STOP&SHOP 556","HEMPSTEAD",4.1,594
"15109","STOP&SHOP 557","DEER PARK",4.2,669
"15110","STOP&SHOP 558","NORTHPORT",0,0
"15111","STOP&SHOP 559","HICKSVILLE",0,0
"15112","STOP&SHOP 560","SMITHTOWN",3.9,347
"15113","STOP&SHOP 561","EAST ISLIP",3.9,317
"15114","STOP&SHOP 563","HOLBROOK",4,506
"15115","STOP&SHOP 564","WEST BABYLON",4.1,368
"15116","STOP&SHOP 570","NEW HYDE PARK",4.3,NA
"15117","STOP&SHOP 574","SETAUKET",4.1,325
"15118","STOP&SHOP 578","INWOOD",0,0
"15119","STOP&SHOP 581","STATEN ISLAND",4,565
"15120","STOP&SHOP 583/PEAPOD","MEDFORD",0,0
"15121","STOP&SHOP 591","LARCHMONT",3.8,262
"15122","STOP&SHOP 593","WHITE PLAINS",4.1,497
"15123","STOP&SHOP 597","POUGHKEEPSIE",4.1,478
"15124","STOP&SHOP SPRMRKT 592","MOUNT VERNON",0,0
"15125","STOP&SHOP SUPERMKT #546","PORT WASHINGTON",4.1,282
"15126","STOP&SHOP SUPERMKT 544","LAKE RONKONKOMA",4.1,595
"15127","STOP&SHOP SUPERMKT 579","CORAM",0,0
"15128","STOP&SHOP SUSHI CONCSN","NORTHPORT",0,0
"15129","STORE #251 @PRICE CHOPP","BUFFALO",0,0
"15130","STORE #40085H","MONROE",0,0
"15131","STORE #40151H","HONEOYE FALLS",0,0
"15132","STORE #40155H","ALDEN",0,0
"15133","STORE THE","SCIO",0,0
"15134","STORKS PRIME MEATS","BABYLON",5,4
"15135","STOUGHTON FARM","NEWARK VALLEY",4.7,171
"15136","STRADIVA GOURMET","BROOKLYN",4,11
"15137","STRADIVA SEAFOOD GOURME","BROOKLYN",4,11
"15138","STRATFORD DELI GROCERY","BROOKLYN",4.2,27
"15139","STRATHMORE BAGELS","RONKONKOMA",4.1,362
"15140","STRAWBERRY 2","NEW YORK",4.6,NA
"15141","STRAWBERRY FIELD & FARM","BROOKLYN",4.6,176
"15142","STRAWBERRY MARKET YOUNG","WESTBURY",3.9,7
"15143","STRIP SNACKS","STATEN ISLAND",0,0
"15144","STRUZZIERI FOOD","BOLTON LANDING",0,0
"15145","STS 3 PETROLEUM","NEW WINDSOR",0,0
"15146","STS2","NEWBURGH",0,0
"15147","STUARTS FRUIT FARM","GRANITE SPRINGS",4.3,127
"15148","STUARTS SEAFOOD MARKET","AMAGANSETT",4.5,24
"15149","STUARTS SPICES","ROCHESTER",4.9,86
"15150","STUDENT ASSOCIATION AT","BINGHAMTON",0,0
"15151","STUDENT FINEST CONVENIE","CORTLAND",0,0
"15152","STUYVESANT DELI GROCERY","BROOKLYN",0,0
"15153","STUYVESANT DELI SUPRMKT","BROOKLYN",0,0
"15154","STW DELI KING","YONKERS",0,0
"15155","STW FLEET","BROOKLYN",0,0
"15156","STYERO CORP THE","EAST HAMPTON",0,0
"15157","SU CORNER MARKET","SYRACUSE",4.1,16
"15158","SUAREZ DELI & GROCERY","BRONX",4.5,8
"15159","SUB HUB","BROOKLYN",5,30
